             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                7.38                0.07               163.7                 1.5                 118                   6                  20                   r
                7.43                0.03               164.8                 0.7                 105                   3                  20                   a
                7.52                0.03               166.9                 0.6                 105                   2                  20                   a
                7.62                0.07               169.0                 1.7                  96                   6                  20                   r
                7.62                0.02               169.1                 0.5                 113                   3                  20                   a
                7.71                0.03               171.1                 0.7                 103                   3                  20                   a
                7.79                0.05               172.8                 1.0                 101                   7                  20                   r
                7.82                0.03               173.4                 0.7                 108                   3                  20                   a
                7.95                0.04               176.2                 1.0                 100                   5                  20                   r
                7.95                0.06               176.3                 1.2                  98                   4                  20                   a
                8.09                0.06               179.5                 1.3                  98                   4                  20                   r
                8.17                0.07               181.1                 1.7                 109                   5                  20                   a
                8.39                0.19               186.2                 4.1                 104                   5                  20                   r
                8.89                0.42               197.3                 9.4                 106                   7                  19                   a
